,,,
no.,연구보고서 명,연구 주제,"연구 분야
- 지정: 바이오, 재료·화학, 지구과학, 반도체·디스플레이, 이차전지, 에너지, 수학"
1,Administration without UX: An AI-Based Computational Architecture for Automated Administrative Processing,An AI-Based Computational Architecture for Automated Administrative Processing,AI-Based Computing
2,Tool-less Human–AI Co-Execution Framework for Scientific Research,도구 없이 수행되는 인간–AI 공동집행 프레임워크를 통한 과학기술 연구 수행 방식에 관한 연구,기타 (AI 활용 연구)
3,Human–AI Co-Scientist Framework for Quantitative Integration of Multi-Assay Bioactivity Data,AI 공동연구 기반 정량 생물활성 분석 연구,바이오·정량 분석·AI 공동연구
4,Uncertainty Quantification for Temporal Generalization in Deep Learning-Based Turbulent Flow Prediction: Identifying Reliability Horizons Through Epistemic-Aleatoric Decomposition,딥러닝 기반 난류 유동 예측의 시간적 일반화를 위한 불확실성 정량화: Epistemic-Aleatoric 분해를 통한 임계 시간 수평선 식별,수학
5,"AI-Assisted Design of GaN-Based Micro-LED and
GaN HEMT Driver for Thermal-Efficient AR Helmet
Displays",전장용 AR 스마트 헬멧을 위한 AI 기반의 Micro-LED 열관리 및 GaN 구동 회로 최적화 연구,반도체·디스플레이
6,"AI-Driven Analysis of Compound Extreme Climate Events
and Socioeconomic Vulnerability in South Korea",복합 극한기후 현상 발생에 따른 사회·경제적 취약성 연구,지구과학
7,AI-Driven Framework for Assessing Socioeconomic Vulnerability to Compound Extreme Climate Events: Integrating Deep Learning and Copula-Based Multi-Hazard Modeling,AI-Driven Framework for Assessing Socioeconomic Vulnerability to Compound Extreme Climate Events: Integrating Deep Learning and Copula-Based Multi-Hazard Modeling,지구과학
8,"Temporal Patterns and Resolution of Toxicities
following Hypofractionated Salvage Radiotherapy for
Biochemical Recurrence of Prostate Cancer After
Prostatectomy",전립선절제술 후 생화학적 재발 환자에서 저분할 구제 방사선치료 후 독성의 시간적 발생 패턴 및 소실 양상 분석,바이오
9,"Breaking the senescence-fibrosis loop:
FAP-responsive inhaled molecular glues targeting
IL-11/ERK PTM axis",섬유화·노화 네트워크 관련 폐 섬유증 치료 타겟 발굴과 약물 후보 제안,바이오
10,"A Multi-Agent RAG Architecture for
Citation-Grounded Scientific Literature Synthesis","A Multi-Agent RAG Architecture for
Citation-Grounded Scientific Literature Synthesis",컴퓨터과학 / 인공지능
11,AI-Human Collaboration for Optimal Point Dispersion in Unit Square (n=16),AI 협업 기반 단위 정사각형 내 점 분산 최적화 (n=16),수학
12,Reducing Inter-Class Confusion in Military Aircraft Detection via Selective Oversampling,군용기 탐지에서 생성형 데이터 증강의 효용성 분석 : 객체 크기 및 기종간 유사성을 중심으로,공학 (인공지능 / 국방)
13,In Silico Repositioning of Semaglutide as a Multi-Target Therapeutic Agent for Alzheimer’s Disease: An Integrated Network Pharmacology and Molecular Docking Approach,세마글루타이드의 알츠하이머 치료제 재창출을 위한 인실리코 네트워크 약리학 연구,바이오
14,Computational Drug Repurposing Pipeline for T-Cell Exhaustion Suppression: A Multi-Evidence Integration Approach,T 세포 탈진 억제 약물 재활용(drug repositioning) 후보 예측,바이오
15,AI-Driven Optimization Framework for Korean Virtual Power Plant Implementation: Hybrid Deep Reinforcement Learning with Multi-Market Coordination,AI-Driven Optimization Framework for Korean Virtual Power Plant Implementation: Hybrid Deep Reinforcement Learning with Multi-Market Coordination,에너지
16,"Multi-Task Deep Learning for Performance Prediction of Amorphous Oxide Semiconductor TFTs: Integration of DFT, TCAD Simulation, and Experimental Data",AI 모델을 활용하여 AMOLED 구동용 고성능/고신뢰성 산화물 TFT 개발을 위한 조성-공정 변수 기반 후보 탐색,반도체·디스플레이
17,"AI Co-Scientist-Guided Generative Augmentation for
Rare Disease Research: Overcoming VAE Mode
Collapse via Temperature Scaling","AI Co-Scientist-Guided Generative Augmentation for Rare
Disease Research",바이오
18,"An ε–δ Discriminant for Projection-Induced
Irregularity in Recurrent Navier–Stokes Observations",Navier–Stokes / Turbulence (recurrent map & projection validity),수학
19,"AI-Driven Drug Repurposing for Alzheimer’s Disease:
Multi-Target Evaluation of FDA-Approved Drugs
Targeting Neuroinflammation and Metabolism",AI-Driven Multi-Target Drug Repurposing for Alzheimer's Disease,바이오
20,"EGO-Evolution: Constraint-Aware Evolutionary
AutoML with LLM Hints and Verifiable Provenance
for Tabular Binary Classification","Constraint-aware Evolutionary AutoML with Verifiable
Provenance (AUC 최대화 + 제약 만족)","AutoML / Tabular ML /
Multi-objective Optimization /
Reproducibility"
21,"Research Drift Guardian (RDG): A Rule-
Based Governance Framework for
Evaluating Methodological Rigor in AIGenerated
Scientific Claims","AI 생성 과학기술 주장에 대한 연구 드리프트 탐지 및 통제 프레임워크
(Research Drift Guardian, RDG)","AI 활용 과학기술 연구
(AI 기반 연구 거버넌스 / 연구 무결성
검증)"
22,"Reasoning Guard : A Bayesian-AdaBoost Framework for
Robust Misfire Prevention in Autonomous Drone Systems",복잡 공학 환경에서의 오류 재발 방지를 위한 베이지안-에이다 부스트 기반 자기 교정 프레임워크,국방
23,Overcoming Resolution Limitations of 60 MHz Benchtop NMR Using Artificial Intelligence,인공지능 기반 데이터 해석을 통한 60 MHz 벤치탑 NMR의 분해능 한계 극복에 관한 연구,식품·화학
24,Integrating Sequence- and Structure-aware Models to Assess Processing-Dependent Allergenicity of Wheat Gliadin,AI 모델링 기반 압출 성형 및 효소 가수분해 복합 공정을 통한 밀 글리아딘의 구조적 변성과 에피토프 파괴 및 알레르기 저감 최적화 연구,바이오
25,"Multi-layer Serpentine Lattice Interlayer for
Mitigating Battery Cell Swelling in High-Nickel
Lithium-Ion Battery Modules",Multi-layer Serpentine Lattice Interlayer for Mitigating Battery Cell Swelling in High-Nickel Lithium-Ion Battery Modules,이차전지
26,"Beyond Vera Rubin: Designing a Thermally-Robust AI
Ultra-Chip via 3D Inter-tier Cooling and PIM
Integration","3D 층간 냉각(Inter-tier Cooling)과 PIM 통합을 통한 열 내구성
기반 차세대 AI 울트라 칩(Ultra-Chip) 설계",반도체·디스플레이
27,Bridging the Sex-Specific Gap in ALS: AI-identified DHEA as a Dual Sigma-1-Receptor Modulator,AI 기반 in silico 분석을 통한 남성 ALS 환자 특이적 치료제(DHEA) 발굴 및 이중 조절 (Dual-Modulation) 기전 규명,바이오
28,Solis Enzyme Engineering Pipeline,AI와 생물정보학 기반 안정성 효소 디자인 파이프라인 구축,바이오
29,Performance Prediction Model for Natural Wind-Based Powerless Heat Exchanger with Porous Chimney Design,무동력 자연 냉열 회수를 위한 자연풍 환경 열교환기 성능 예측 모델 개발,에너지
30,Generative Inverse Design of Solid-State Fluoride-Ion Electrolytes in Data-Sparse Chemical Space,AI 기반 초대규모 조성-구조-계면 통합 데이터베이스를 이용한 차세대 고체전해질 설계,이차전지
31,"S-ACAD: Safe and Rapid Clinical Algorithm
Development through Multi-AI Collaboration and
Human Governance","S-ACAD*: 다중 AI 협업과 인간 거버넌스를 통한 임상 알고리즘의 안전하고 신속한 개발 
*S-ACAD: Semi-Automatic Clinical Algorithm Development",의료
32,Single-cell RNA-seq-based   characterization of IL-11-positive fibroblasts and their pro-fibrotic signaling networks in pulmonary fibrosis,섬유화·노화 네트워크 관련 폐 섬유증 치료 타겟 발굴과 약물 후보 제안,바이오
