team_name,original_filename,uuid_filename,title,abstract
720호,template_2026_anonymized.pdf,4d368766-2290-46a1-a75d-2c9c599809ea.pdf,Anonymous Author(s),"The abstract paragraph should be indented 1/2 inch (3 picas) on both the left- and 1 right-hand margins. Use 10 point type, with a vertical spacing (leading) of 11 points. 2 The word Abstract must be centered, bold, and in point size 12. Two line spaces 3 precede the abstract. The abstract must be limited to one paragraph. 4 1 Submission of papers to 2026 AI Co-Scientist Challenge Korea 5 This template is based on NeurIPS 2023 template. 6 Please read the instructions below carefully and follow them faithfully. 7"
ADAPT,Solis_Enzyme_Engineering_Pipeline_20260128161530300-x0FR.pdf,55528883-85e5-45b2-8509-8c17c9267438.pdf,Solis Enzyme Engineering Pipeline,"We present SOLIS (Structure-guided Optimization and machine Learning-based Integrated System), an automated enzyme design pipeline that improves physico- chemical properties while preserving native catalytic function. Naturally occurring enzymes are often poorly suited for industrial applications due to limited solubility or stability. SOLIS integrates interface-aware residue protection, evolutionary conservation analysis, structure modeling, and a multi-stage validation funnel into a unified, iterative workflow. ProteinMPNN-based sequence redesign is performed under controlled mutation constraints, followed by stringent structural, thermody- namic, and chemical filtering. Specifically, we incorporated RaSP (Rapid Stability Prediction) for high-throughput thermodynamic profiling and BioPython-based screening to eliminate chemical liability motifs. This design strategy enables large- scale exploration of enzyme variants while minimizing perturbation of the catalytic architecture. We applied SOLIS to the redesign of a prenyltransferase involved in cannabinoid biosynthesis. All selected variants exhibited high structural confidence (pLDDT > 90), native-like backbone conformations (RMSD < 2.0 Å), improved predicted thermodynamic stability, and enhanced chemical stability profiles. These results demonstrate that SOLIS provides a scalable framework for the automated prioritization of functionally viable and developable enzyme variants."
AI Square Ring,2. (제출물 양식) AI 활용보고서 작성 양식.pdf,dcbc543a-93f4-425e-97e6-0d0ffabf57c6.pdf,별첨1-4  (제출물 양식) AI 활용 보고서 (Track1),(초록 추출 실패)
AI는 나의 동반자,논문형 보고서.pdf,bbe69b6c-5117-4db3-a7cb-8041538cea08.pdf,Transcriptome-Based Drug Repositioning for T Cell,"T cell exhaustion is a major factor limiting the efficacy of immunotherapy in cancer and chronic infection. With progenitor exhausted CD8+ T cells (Tpex) emerging as a key population that sustains proliferative immune responses after immune checkpoint blockade, strategies to modulate the Tpex transcriptional program have gained attention as a potential therapeutic avenue. Transcriptome-based drug repositioning via signature reversal enables in silico exploration of such targets; however, prior studies have largely relied on rule-based manual screening. In this work, we reformulate drug repositioning for suppressing T cell exhaustion as a comparative problem between manual screening and AI-assisted candidate prediction. Using tumor-infiltrating CD8+ T-cell single-cell RNA-seq data, we defined a Tpex-specific transcriptomic signature and leveraged LINCS L1000 perturbation profiles to identify compounds predicted to reverse the signature. We then compared an expert, rule-based pipeline against an AI-assisted prioritization pipeline. Manual screening identified 62 candidates, whereas the AI-assisted pipeline prioritized 121 candidates; three drugs (MK-2206, PF-562271, and PFI- 1) were shared across both approaches, forming a conservative shortlist. These findings suggest that AI-based analysis can serve not only to automate conventional workflows but also as a hypothesis-generation “co-scientist” that expands the exploration space."
BD-ONE V3,BD-ONE_Research_Paper_English.pdf,ed97d08a-35b6-4561-a518-fdd06981241f.pdf,Tool-less Human–AI Co-Execution Framework for Scientific Research,"This study investigates a human–AI co-execution framework designed for scientific research environments without reliance on specialized tools or custom systems. The framework ensures that decision-making authority remains with the human researcher, while AI supports structuring, organization, and validation across research stages. The study demonstrates that such collaboration can improve clarity, reproducibility, and transparency in research processes while maintaining ethical accountability."
Battery_ML,Physics-Informed Feature  Disentanglement for Autonomous Acceleration of Design and Analysis_20260131122741917-apK8.pdf,ad73bc07-227f-46c7-9daf-fef095c06531.pdf,Physics-Informed Feature Disentanglement for,"The multi-dimensional design space of battery design presents a critical “dimen- sionality crisis”: the design space is so wide that traditional machine learning models fail to capture complex, non-linear parameter interactions. This study proposes an AI-driven framework based on physics-informed feature disentangle- ment to overcome these limitations. By integrating a specialized feature extraction algorithm with a linear regression model trained on high-fidelity PyBaMM simu- lations, we successfully isolated entangled electrochemical signatures from raw voltage profiles into deterministic physical markers. Our results demonstrate that this framework achieves a high coefficient of determination (R2) exceeding 0.9 for key parameters when physics-informed features are used. Crucially, the model’s reliability is secured by correlating AI decision-making with internal physical phenomena, such as the evolution of lithium concentration. This mechanism-aware approach supports forward performance prediction and interpretability toward future autonomous inverse design of LFP architectures, effectively bridging the gap between theoretical modeling and rapid industrial application. ∗As of 2026-01-30. Codex: OpenAI software engineering agent (codex-1). Cursor: AI-assisted IDE (cursor.com). Comet: Comet ML platform for experiment tracking and LLM evaluation (comet.com). GPT-5.2 Thinking: OpenAI reasoning model. Gemini (Flash): Google Gemini 2.5 Flash (fast variant). †Corresponding author. Preprint. Under review."
Beyond Pixel,[Track1] 논문_Physically Grounded Root Cause Analysis in Semiconductor Manufacturing.pdf,5fed9aab-41f7-4054-814a-d903570072d8.pdf,Physically Grounded Root Cause Analysis in,"The semiconductor manufacturing industry currently faces a critical ""semantic gap"" in yield management: while automated defect classification (ADC) systems based on Convolutional Neural Networks (CNNs) have achieved near-perfect accuracy in identifying what a defect is, they remain fundamentally incapable of explaining why it occurred. Conversely, emerging Large Multimodal Models (LMMs) and Vision-Language Models (VLMs) possess the reasoning capacity to generate explanations but suffer from ""hallucinations"" when applied to the specialized, physics-constrained domain of wafer fabrication without adequate grounding. This research proposes a novel Dual-Stream Framework that bridges this gap by integrating a robust visual anchor with a physics-informed logical reasoner. Stream 1 (The Visual Verifier) utilizes a ResNet-50 architecture, fine- tuned on the massive WM-811K dataset (811,457 wafer maps), to extract high- fidelity spatial features and generate Gradient-weighted Class Activation Mappings (Grad-CAM). Stream 2 (The Logical Reasoner) employs a state-of-the- art VLM (Gemini 3 Pro) injected with Kinematic Logic—a prompt engineering paradigm that encodes specific equipment mechanics. We validated this framework against four physics-informed blind test scenarios with 18 independent runs. Experimental results demonstrate that our data scale-up strategy improved classification accuracy from 80.65% to 88.52%, while the VLM achieved a Diagnosis Accuracy of 88.9% in root cause deduction, proving its capability to map visual patterns to specific hardware failures with high semantic consistency. This study presents a viable path for ""AI Co-Scientists"" to assist engineers in rapid yield recovery. ResNet-50∗, Gemini 3 Pro 2"
Bio-AI,3. 활용 데이터 목록.pdf,30301627-82a8-45c8-bf9e-c85d149185e7.pdf,별첨1-5  (제출물 양식) 활용데이터 목록 (Track1),(초록 추출 실패)
CatAgent 팀,1. 연구보고서.pdf,5c182fa8-ba06-4eda-901d-4f5b2a050f60.pdf,CatAgent: Multi-Agent Orchestration for,"The discovery of efficient hydrogen evolution reaction catalysts is hindered by 1 the combinatorial scale of candidate material space, which limits conventional 2 screening approaches. Here we present CatAgent, an autonomous multi-agent 3 workflow driven by large language models that achieves a 2.27-fold increase in 4 discovery rates over the random baseline. The framework integrates hypothesis 5 generation, surrogate-model evaluation, and iterative critic feedback to navigate 6 chemical space toward optimal hydrogen adsorption strength. We benchmark 13 7 state-of-the-art language models in ’single-shot mode’ and ’iterative CatAgent 8 mode’ across alloy compositions spanning L10 and L12 crystallographic phases. 9 Critic-enabled iterations improve performance for most model architectures, though 10 self-refinement effectiveness varies across model families. Top-performing models 11 such as Gemini 3 Flash and GPT-5.2 concentrate proposals near zero theoretical 12 overpotential, identifying successful candidates twice as efficiently as random 13 sampling. In contrast, outdated models such as GPT-3.5 Turbo fail to formulate 14 consistent hypotheses and exhibit unreliable search behavior. This work provides 15 the first demonstration that state-of-the-art language models can autonomously 16 reshape high-throughput catalyst screening into reasoning-guided exploration. 17"
Coupled-AI,보고서.pdf,e8c2cf7c-9c63-44a8-9411-1bfc585c2c63.pdf,Operator Learning for Regime-Switching Black–Cox,"Regime-switching first-passage-time structural credit models lead to tightly coupled 1 PDEs with absorbing boundaries. Re-solving these PDEs whenever parameters 2 change becomes a key bottleneck for calibration and stress testing, due to high 3 computational cost. To address this, we propose Reflection DeepONet, a physics- 4 informed neural operator whose trunk embeds reflection-principle survival bases to 5 enforce the absorbing boundary by construction, while its branch predicts spectral 6 regime-mixing coefficients from switching intensities. Training is self-supervised 7 by minimizing PDE residuals, using a boundary-robust Huber loss and hybrid 8 sampling that emphasizes the near-maturity boundary layer with gradual regime 9 coupling. Experiments demonstrate robust, consistent regime sensitivity of term 10 structures across single-name, counterparty-risk, and basket settings, enabling fast 11 amortized scenario analysis across a wide range of parameter values. 12"
